PropertyClass,ZoningCategory,RoadAccessLength,LandArea,RoadType,PlotShape,LandElevation,UtilityAccess,PlotConfiguration,LandSlope,District,NearbyTransport1,NearbyTransport2,PropertyType,HotelStyle,RoofDesign,RoofMaterial,ExteriorPrimary,ExteriorSecondary,FacadeArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementHeight,BasementCondition,BasementExposure,BasementFacilityType1,BasementFacilityType2,BasementUnfinishedSF,BasementTotalSF,HeatingType,HeatingQuality,CentralAC,ElectricalSystem,LowQualityArea,UsableArea,GuestRooms,Kitchens,KitchenQuality,TotalRooms,PropertyFunctionality,Lounges,ParkingType,ParkingConstructionYear,ParkingFinish,ParkingCapacity,ParkingQuality,ParkingCondition,DrivewayType,SwimmingPoolArea,ExtraFacilityValue,MonthSold,YearSold,DealType,DealCondition,HotelValue,TotalOutdoorArea,TotalSF,TotalBaths,OverallScore,Age,YearsSinceRemodel,Qual_x_GroundSF
50,RL,60.0,10930,Pave,Reg,Bnk,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,333,913,GasA,TA,Y,FuseA,0,1558,3,1,TA,6,Typ,1,Attchd,1962.0,Unf,1,TA,TA,Y,0,0,4,2008,WD,Normal,140000.0,0,1846,2.5,5.5,63,58,5240
60,RL,65.0,14006,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,144.0,Gd,TA,PConc,Gd,TA,None,Unf,Unf,936,936,GasA,Ex,Y,SBrkr,0,1776,3,1,Gd,7,Typ,1,Attchd,2002.0,RFn,2,TA,TA,Y,0,0,2,2006,WD,Normal,192500.0,240,2490,2.5,6.0,4,4,6552
180,RM,21.0,1533,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,77,630,GasA,Ex,Y,SBrkr,0,630,1,1,Ex,3,Typ,0,None,,None,0,None,None,Y,0,0,8,2006,WD,Abnorml,92000.0,0,630,2.0,6.0,36,36,3150
60,FV,65.0,8125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,Unf,770,770,GasA,Ex,Y,SBrkr,0,1576,3,1,Gd,6,Typ,0,Attchd,2006.0,RFn,2,TA,TA,Y,0,0,8,2006,New,Partial,197000.0,50,2240,2.5,6.0,0,0,5446
30,RL,52.0,9022,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,Unf,768,768,GasA,Ex,Y,SBrkr,0,792,2,1,Gd,5,Typ,0,Detchd,1924.0,Unf,1,Fa,Fa,N,0,0,5,2009,WD,Normal,109500.0,436,1468,1.0,6.5,85,3,3960
20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,417,1705,GasA,Ex,Y,SBrkr,0,1718,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3,TA,TA,Y,0,0,9,2009,WD,Normal,297000.0,252,2796,3.0,6.5,2,1,13744
20,RL,70.0,9156,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1489,1489,GasA,Gd,Y,SBrkr,0,1489,3,1,Gd,7,Typ,1,Attchd,1968.0,RFn,2,TA,TA,Y,0,0,8,2009,WD,Normal,185750.0,0,1951,2.0,6.5,41,41,8934
60,RL,79.0,12420,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,278,944,GasA,Ex,Y,SBrkr,0,1840,3,1,Gd,6,Typ,0,Attchd,2001.0,RFn,2,TA,TA,Y,0,0,6,2009,WD,Normal,230000.0,45,2507,3.5,6.0,8,8,6608
30,RM,50.0,5925,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,Stucco,Stucco,435.0,TA,TA,BrkTil,Fa,TA,No,Rec,Unf,739,907,GasA,TA,Y,SBrkr,0,1131,2,1,TA,7,Typ,0,Detchd,1995.0,Unf,2,TA,TA,Y,0,0,3,2007,WD,Alloca,89471.0,72,1875,1.0,5.5,70,7,4524
20,RL,124.0,16158,Pave,IR1,Low,AllPub,Inside,Mod,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,16.0,Gd,TA,PConc,Ex,TA,Av,ALQ,Unf,256,1530,GasA,Ex,Y,SBrkr,0,1530,3,1,Gd,7,Typ,1,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,6,2009,WD,Normal,260000.0,204,2164,3.0,6.0,4,4,10710
60,RL,63.0,8199,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,WdShing,Wd Shng,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,80,728,GasA,Ex,Y,SBrkr,0,1456,3,1,Gd,7,Typ,1,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,10,2008,WD,Normal,189000.0,54,1920,3.5,6.0,3,3,5096
70,RL,60.0,9084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Mn,Unf,Unf,755,755,GasA,TA,Y,SBrkr,0,1510,4,1,TA,7,Typ,1,Detchd,1940.0,Unf,1,Fa,Po,P,0,0,10,2009,WD,Normal,108000.0,120,1926,2.0,4.5,69,59,3020
20,RL,70.0,8120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,673,864,GasA,Ex,Y,SBrkr,0,864,3,1,TA,5,Typ,0,Detchd,1994.0,Unf,2,TA,TA,Y,0,0,7,2009,WD,Normal,124500.0,0,1327,1.0,5.5,39,39,3456
20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Rec,Unf,392,1314,GasA,TA,Y,SBrkr,0,1314,3,1,TA,5,Typ,0,Attchd,1957.0,RFn,1,TA,TA,Y,0,0,6,2010,WD,Normal,145000.0,250,1858,2.0,5.5,53,53,6570
60,RL,59.0,7837,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,799,799,GasA,Gd,Y,SBrkr,0,1571,3,1,TA,7,Typ,1,Attchd,1993.0,RFn,2,TA,TA,Y,0,0,5,2009,WD,Normal,178000.0,40,1991,2.5,6.5,16,15,4794
30,RL,67.0,8777,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,Wd Sdng,0.0,TA,TA,CBlock,Fa,TA,No,Unf,Unf,796,796,GasA,Gd,Y,FuseA,0,796,2,1,TA,4,Typ,0,None,,None,0,None,None,P,0,0,5,2008,WD,Normal,85000.0,492,1288,1.0,6.0,98,58,3980
50,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,252.0,TA,TA,BrkTil,Gd,TA,No,ALQ,Unf,162,731,GasA,Ex,Y,SBrkr,0,1768,3,1,Gd,7,Typ,2,Detchd,1939.0,Unf,1,TA,TA,Y,0,0,6,2007,WD,Normal,175000.0,264,2272,2.5,6.0,70,57,4905
50,RL,50.0,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,Unf,808,1026,GasA,TA,Y,SBrkr,0,1691,3,1,Gd,6,Typ,1,Detchd,1924.0,Unf,1,TA,TA,Y,0,0,5,2010,WD,Normal,127000.0,242,2241,2.0,5.5,86,60,5130
20,RL,70.0,9800,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,ALQ,Unf,0,894,GasA,TA,Y,SBrkr,0,894,3,1,TA,5,Typ,0,Attchd,1975.0,Unf,2,TA,TA,Y,0,0,7,2006,WD,Abnorml,149900.0,256,1702,2.0,6.0,34,34,4470
60,RL,122.0,11911,Pave,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,684,684,GasA,Ex,Y,SBrkr,0,1560,3,1,Gd,6,Typ,1,BuiltIn,2005.0,Fin,2,TA,TA,Y,0,0,3,2009,WD,Normal,174000.0,138,2098,2.5,5.5,4,4,4104
50,RM,40.0,5436,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,TA,No,BLQ,Unf,61,796,GasA,Gd,Y,SBrkr,0,1154,3,1,Gd,7,Typ,0,Detchd,1922.0,Unf,1,TA,TA,N,0,0,5,2010,WD,Normal,125500.0,96,1490,2.0,6.0,88,3,3184
20,RL,78.0,12090,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,LwQ,606,1422,GasA,TA,Y,SBrkr,0,1422,3,1,Gd,7,Typ,1,Attchd,1981.0,Fin,2,TA,TA,Y,0,0,6,2008,WD,Normal,175500.0,276,2274,2.0,6.0,27,27,8532
20,RL,76.0,9158,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,140.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1496,1496,GasA,Ex,Y,SBrkr,0,1496,3,1,Gd,7,Typ,0,Attchd,2007.0,Fin,2,TA,TA,Y,0,0,6,2007,New,Partial,225000.0,298,2268,2.0,6.5,0,0,11968
85,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,Gd,LwQ,Rec,0,814,GasA,Gd,Y,SBrkr,0,913,3,1,TA,6,Typ,0,Detchd,1990.0,Unf,1,TA,TA,Y,0,0,5,2007,WD,Normal,129000.0,252,1405,2.0,5.5,41,41,5478
80,RL,85.0,13400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,1047.0,TA,TA,CBlock,TA,TA,Av,ALQ,BLQ,380,1024,GasA,TA,Y,SBrkr,0,1086,3,1,TA,6,Typ,1,Attchd,1966.0,RFn,2,TA,TA,Y,0,0,6,2006,WD,Normal,159950.0,0,1570,2.0,5.0,40,40,5430
20,RL,82.0,11880,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,206.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,567,1271,GasA,TA,Y,SBrkr,0,1601,3,1,TA,7,Typ,1,Attchd,1978.0,RFn,2,TA,TA,Y,0,0,4,2009,COD,Abnorml,157000.0,0,2079,2.0,6.0,31,31,11207
60,RL,85.0,13600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,176.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,314,768,GasA,TA,Y,SBrkr,0,1986,3,1,TA,7,Typ,3,Attchd,1965.0,Unf,2,TA,TA,Y,0,0,10,2009,WD,Normal,205000.0,231,2703,2.5,6.5,44,19,8302
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,168.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1164,1164,GasA,TA,Y,SBrkr,0,1164,3,1,TA,6,Typ,0,Attchd,1969.0,Unf,2,TA,TA,Y,0,0,7,2006,COD,Normal,140000.0,0,1692,1.5,6.0,37,37,8148
60,RL,70.0,8068,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1010,1010,GasA,Ex,Y,SBrkr,0,2267,4,1,Gd,8,Typ,1,BuiltIn,2002.0,RFn,2,TA,TA,Y,0,0,12,2009,ConLI,Normal,200000.0,166,2823,2.5,5.5,7,7,6060
20,RM,49.0,8235,Pave,IR1,HLS,AllPub,Inside,Gtl,OldTown,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,LwQ,Rec,0,825,GasA,TA,Y,SBrkr,0,825,2,1,TA,4,Typ,0,Detchd,1963.0,RFn,2,TA,TA,Y,0,0,6,2008,WD,Normal,125000.0,190,1735,2.0,6.0,53,13,4125
60,RL,75.0,7950,Pave,IR1,Bnk,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,Plywood,140.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,155,690,GasA,TA,Y,SBrkr,0,1426,3,1,TA,6,Typ,0,Attchd,1977.0,Fin,2,TA,TA,Y,0,0,7,2009,WD,Normal,159500.0,252,2118,1.5,6.0,32,32,4188
20,RL,47.0,12416,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Plywood,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,LwQ,0,1606,GasA,TA,Y,SBrkr,0,1651,3,1,TA,7,Min2,1,Attchd,1986.0,Fin,2,TA,TA,Y,0,0,11,2008,WD,Normal,184000.0,192,2459,3.0,5.5,22,22,9906
45,RL,55.0,10594,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,768,768,Grav,Fa,N,SBrkr,0,789,2,1,TA,5,Typ,0,Detchd,1926.0,Unf,1,Po,Po,Y,0,0,6,2007,WD,Normal,96500.0,112,1101,1.0,5.0,81,57,3945
90,RL,91.0,11643,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,368.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,748,1248,GasA,TA,Y,SBrkr,0,2634,6,2,TA,12,Typ,0,Detchd,1969.0,Unf,4,TA,TA,Y,0,0,8,2009,WD,Normal,200000.0,0,3602,4.5,5.0,40,40,6690
50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1042,1042,GasA,Ex,Y,SBrkr,0,1576,3,1,TA,8,Typ,1,Detchd,1928.0,Unf,1,TA,TA,Y,0,0,8,2006,WD,Family,149000.0,0,1801,1.0,5.5,78,56,5210
60,RL,65.0,10237,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,783,783,GasA,Ex,Y,SBrkr,0,1484,3,1,Gd,8,Typ,1,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,7,2007,New,Partial,178900.0,72,1949,2.5,5.5,2,0,4698
20,RL,67.0,10083,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,343,1176,GasA,Ex,Y,SBrkr,0,1200,2,1,Gd,5,Typ,0,Attchd,2003.0,RFn,2,TA,TA,Y,0,0,8,2009,WD,Normal,184900.0,41,1796,3.0,6.0,6,6,8400
160,FV,35.0,4251,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,625,625,GasA,Ex,Y,SBrkr,0,1250,2,1,Gd,5,Typ,0,Detchd,2006.0,RFn,2,TA,TA,Y,0,0,6,2007,New,Partial,164700.0,54,1832,2.5,6.0,1,0,4375
20,RL,100.0,17500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,HdBoard,0.0,Gd,Gd,PConc,Gd,TA,Av,GLQ,Unf,496,1902,GasA,TA,Y,SBrkr,0,1902,3,1,Ex,7,Typ,2,Attchd,1959.0,Fin,2,TA,TA,Y,0,0,5,2010,WD,Normal,335000.0,369,2838,3.0,7.5,51,8,13314
90,RL,70.0,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Stucco,Stucco,340.0,TA,TA,Slab,None,None,None,None,None,0,0,Wall,Fa,N,FuseA,0,1040,2,2,TA,6,Typ,0,Detchd,1949.0,Unf,2,TA,TA,Y,0,0,5,2006,WD,Normal,87500.0,0,1440,2.0,3.5,57,56,3120
